goos: linux
goarch: amd64
pkg: nextgen
cpu: 11th Gen Intel(R) Core(TM) i7-11850H @ 2.50GHz
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=100000/keysize=256-16    	20667813	        56.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=100000/keysize=256-16                              	17642566	        64.63 ns/op	      72 B/op	       2 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=16-16                      	 2446041	       439.3 ns/op	      22 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=16-16     	20890370	        60.75 ns/op	       2 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=16-16                               	17173754	        69.94 ns/op	      73 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=32-16                      	 3601226	       284.2 ns/op	      15 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=32-16     	22762760	        57.68 ns/op	       2 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=32-16                               	17054728	        69.36 ns/op	      73 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=64-16                      	 3189937	       358.1 ns/op	      17 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=64-16     	14226453	        93.04 ns/op	       3 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=64-16                               	16191099	        77.70 ns/op	      73 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=128-16                     	 2677700	       391.3 ns/op	      20 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=128-16    	12670502	       107.7 ns/op	       4 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=128-16                              	15411243	        75.32 ns/op	      73 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=500000/keysize=256-16                     	 2366181	       457.5 ns/op	      23 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=500000/keysize=256-16    	10193420	       118.7 ns/op	       5 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=500000/keysize=256-16                              	15255658	        99.71 ns/op	      73 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=1000000/keysize=16-16                     	 3473246	       291.8 ns/op	      32 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=16-16    	17951086	        88.46 ns/op	       6 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=1000000/keysize=16-16                              	18137883	        80.83 ns/op	      75 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=1000000/keysize=32-16                     	 3728634	       290.5 ns/op	      29 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=32-16    	15348058	       102.2 ns/op	       7 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=1000000/keysize=32-16                              	15095302	        80.62 ns/op	      75 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=1000000/keysize=64-16                     	 3211738	       352.6 ns/op	      34 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=64-16    	12359040	       129.3 ns/op	       9 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/SyncMap/n=1000000/keysize=64-16                              	15235383	        77.01 ns/op	      75 B/op	       3 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedBuiltinMap/n=1000000/keysize=128-16                    	 2304892	       502.8 ns/op	      48 B/op	       0 allocs/op
BenchmarkConcurrentMapWriteHeavy/LockedShardedBuiltinMap/shards=32/n=1000000/keysize=128-16   	12931686	        84.19 ns/op	       8 B/op	       0 allocs/op
